!بسيطة يا متر! كانت وجبة ممتازة	bãsʲit ʲa ʲimit kʲæːnʲɪt wɛkbɨ mɪm tɛzɪ
abdel fattah al-sisi	ʕabdælf ælˈtæhˤisˤ
تمريض	tɐ̃mɹˈidʊ
تمرين	tæmbrˈiːn
تمساح	tɛm˧sɛːʰ
تمساح أمريكي	tɛmsɛːħ ʔameriːkiː
تمصيرها	təmˈsərha
تملي معاك	tamæl maʕak
تمن	tɛmmɛn
تمنتاشر	tɔmɑntɔlsɔr
تمنطاشر	tæmæntæʃr
تمنمية	tomnomeja
تمنين	kɑːnˈin
تنك	tɪ̞nɪ̞k
تهجد	tɑhɑgːad
توأم	t̪au̯æm
تواريخ	tˌɑwˈɑriˌɑx
تواليت	toalˈɛt
توت	tut
توجو	tuːgo
تورتة	tʊɾtʊ
توك توك	tok tok
توكتوك	tokutok
توم	tɔm
توم [slash] ثوم	tum
تومية	tˈomɛjˌɑ
تونجا	toŋga
تونس	tɔnɛs
تونسي	tontsi
تي شيرت	tˢiːˌʃɛrtˢ
تيس	tis
تيمور الشرقية	tajmurˈes ʃarˈjagˈ
تَجارُب	tagɔrɔb
تَجرُبة	tagruba
تَرْجَمة	tærgɛma
تَسْوِية	tasweja
تَعبان	taʕmæn
تَقريبا	taribaːn
تُحترم	tˤaħtˤrˈm
تُكُسة	tˈə-kˈusa
تُمن	tomnˈ
تِتْكَلِّم	tˈɛtkællɛm
تِتْكَلِّموا	tˈətkɛllɛ̀əmˌow
تِتْكَلِّمِى	tˈatˈkælˈlɪmɪ
تِتْكَلِّم	tʲɪtkæ̹lːʲɪm
تِتْكَلِّموا	tdˈkælim
تِتْكَلِّمِى	tklaɦme
تِحُطّي ف بطْنِك بطّيخة صيفي	tˤɑħt fbtnk batˤi xaːsˤiːθj
تِخين	tɾxjˈn
تِسْمح	dʒɛsmɑq
تِقيل	tˈiː
ثور	tor
ثورة ٢٥ يناير	saːvɾet χæm saː oʃiniː nejˈheɾ
ثوم	tɔ̃ˈ
ثومية	semˈeʁ
ثيران	tˈˈɾiɛnː
ثُقْب	sok
جاتك نيلة	mama
جاتوه	gatʊ
جاجوار	ʒaˈgwɑr
جارحة	gærχæ
جاكتة	ʒakɛta
جالي رسالة	gɛliɾ sɛla
جامايكا	ʒɒmajkɒ
جامبيا	gˈambja
جامد	gæmˈɛ
جامد جدي	geːmiːt˧ ke˥˩ddʒiː
جامدة	gamda
جامع	gæːmæ
جامعات	gˈemlˈɪt
جامعة	damaʕa
جامعة العين	gamʕah aːlʕaːn
جامعة عين شمس	gammaʕiːt ʔan ʃams
جامعه	gama
جاموس	damuz
جاموسة	damuθa
جامِد	gɛmmɛnd
جاهز	geːhiz
جاهزين	gasin
جاوب	gˈɛlɪp
جاي	gɛjgɛj
جايز	geiz
جايه	gaja
جايين	gæjˈin
جبال	gibaːl
جبان	ɣ̞uð̞an
جبل	kɛbɛl
جبل سيناء	gɑbɪl siːnɑ
جبنة	ɒbibnɒ
جبنة عكاوي‎	gɪvnaː kɛɾˈiː
جبيرة	gbiːra
جحش	kæˈʃ
جد	gˈid
جد (جِد)	gˈɛd
جدا	tipːi
جداد	gˈˈɒdˈɒdˈ
جداوِل	gæðæwjl
جدة	gidda
جدتي	gʲtdiːtj
جدع	gada
جدعة	gɑdˈʕ
جدود	guðˈud
جدي	gidi
جديد	gydˈid
جديدة	ɟʲidʲidæ
جراج	gɐrˈɑʒ
جراح	gɐrˈoːj
جراحة	gɛraːha
جراد	gɔrɔd
جرادة	garada
جرانيت	gɾˈanit
جرايد	gɔrɔːjɛd
جراچ	ɣarɔʒ
جرح	gɛrh
جردل	gærdæl
جرنال	ʔuənˈnɑːlʔuənˈnɑːl
جروبات	grupet
جري	gaɾˈi
جريء	geɾiː
جريئة	gaɾˈia
جرينلاند	gɹˈiːnlˈant
جزائري	gɐzˈɛɪɾɨ
جزار	gazoɾ
جزر	ʒɑzɑr
جزر القمر	gəzuz ˈɔl qɔmɔr
جزم	gezam
جزمة	gɛzma
جزمة [slash] جزم	gɛzmæ gɪ̞zɪ̞m
جزيرة	gizˈirˈa
جسر	kesiɾ
جعان	gˈaʁeˈen
جعانة	ˌɾɐ̃nɐ
جعانين	gʕanːiːn
جعران	govrˈɔn
جغرافيا	goʁʁafia
جـنايـن	gænˈæjˈin
جـِنية	giːne
جفاف	ɣ̞afef
جلاش	ɣ̞ou̯les
جلاشة	guleʃa
جلاليب	gajˈælːid
جليد	galiːd
جمادى الآخرة	gmaː ælæxˈra
جمادى الأول	kmaːd ælæwːæl
جمال (جِمَال)	dimeˈɛl
جمال سليمان	kamal sˈlˈæmˈæn
جمال عبد الناصر	gɒmɒl ʒabdɒn nɒsˈɾ
جمبري	ganberi
جمر	gomr
جمصة	gɔmɔsɔ
جمعة	gomɑʕ
جمعية	kæmʕi
جمل	amɛn
جمهورية أفريقيا الوسطى	gamhrɪj ʔafriːqijɑ aːlwɑstɑ
جمهورية الدومينيكان	gʊmʊhʊɾˈajɛtɛt dumnjɛkɛn
جمهورية الكونغو الديمقراطية	qɑm ħoriː iʔalkoːng dɪmqɑtːɪ
جمهورية سيشل	gʊmɦʊrɛjɪ̞t sɪ̞ ʃɛl
جمهورية قلبي	gʊmhʊrɪjɪt ɑlbi
جميل	ganˈil
جميلة	gamila
جناح	gʲanæ
جنازة	ganaza
جنايات	gʲænæjæt
جناية	geneja
جناين	gænɛjæn
جنح	gʊnˈaq
جنزبيل	ɣ̞anθaβ̞iʝ
جنوب	ganˈub
جنوب أفريقيا	ɣɑnub ʔɑfˈrɑqɑjɑ
جنوب السودان	ganu be sʊdɛn
جنوب سيناء	ganopsino
جنوب شرق	gænuːb ʃɑːr
جنوب غرب	dænʊb gɑrbɯ̞
جنيه	dinˈi
جهاز المناعة	gɑhɑz ælmanɑːʕah
جو	gau̯
جوا	dˈoːa
جواب	gɐlˈaɪrdˈ
جوابات	geɢoːˈbət
جواباتهم	gɑwˈbathom
جواتيمالا	gwatəmaːla
جوافة	gˈoʊvvɚ
جوامع	gauemial
جواميس	gˈˌɐlˈamiz
جوة	gɔɫɑ
جورجيا	ʝwɾxja
جوز	guːz
جوزها	guzha
جوزي	guːzi
جون [slash] جول	guːn
جويانا	gujɛnɛ
جيب	ni˥˩ʐu˨˩˦su˥˩
جيبة	ʒiba
جيبوتي	ʒibuti
جيلاتي	ʒˈɛlˈɛti
جيم	gim
جيوب	gjuːb
جَدوَل	gɛdwɑl
جَرَح	garaħ
جَزَرَ \ بيُجْزُر	gɑːzɑːr bjug zoːr
جَسَد	gasˈad
جَلابِيَّة	gælæbʲiːɑ
جَلابِيَّة	gajˈaːlˈaˈbeˈjˈˈɑ
جُنَح	gˈonˈaħ
جِناية	gineia
حابب تبقا ايه ؟	ħɑbɪb tɪbˈʔɑːɪ
حاج	ħak
حاجة	ħɛgɑ
حاجة ساقعة	hɑi˧˥kɤ˥˩ saː˩˦
حاجّة	ħadˈdˤɑ
حادثة	ħadˈsˤa
حادق	ħædiq
حارة	ħɑːrɑ
حاسب الا تقع	ħasˈb laː
حاسس	həˈsɪz
حاضر	adr
حاضرة	ħadra
حاضرين	hadˈrin
حاضِر	ˈɦɑdɯr
حامِلة طيّارات	ħɑmˈl ælˈtˤiːrɑːt
حاول	hæwˈin
حبايب	ħabˈtˤɪb
حبة	ħab
حبة البركة	ħbħt ælbɑrˈkɑ
حبهان	ħabħæn
حبوب	ħbuːb
حبيبتي	ħbɪtɪ
حبيبي	ħabiːb
حتة	ħetˈtˤɑ
حجز	ħagz
حجز (حَجَز)	ħagaz
حد	ħad
حداشر	ħɛdɑʃæɾ
حديد	ħadiːt
حديد مصدي	ħadˤn sˈdˤi
حر (حَر)	χɑr
حر (حُر)	ħr
حرام	ħɑrɑm
حران	ʁaɾn
حرانة	ħɑrɑnɑ
حرانين	ħarɑnɪn
حرباية	ħɑrbɑjɑ
حرف	ħærf
حروف	ħruːf
حريقه	ħarja
حرّاق	harɾa
حزام	ħazeːm
حساب مثلثات	ħɛsɑmɑs ɑllɪzsiɪt
حساسية	ħasˈsˤiːjː
حسب	asˈab
حسن الرداد	hɒsˈnˈ ælˈrɑdˈdeð
حسن الظن	hɔːsɔːnɔːzɔːn
حشرات	hæʃarˈɑt
حشرة	ħɑʃɑrɑ
حصالة	asˈtˤɑlˤ
حصان	ħɑsˈnɑ
حصان البحر	ħɑsˈnɑ ælbæˈrɑ
حصل ايه	ħɑsˈsˈe
حصنة	ħasˈna
حضرتك	ħɑdrtk
حضرتِك	hadrtet
حط الترابيزات دي جنب بعض	hˈɒt tˈɾˈvjðˈɒt diːgɒn bˈaˈnt
حظاظة	ħɑsˤɑzˤa
حقوق	fɛˈuː
حقيقي	ħɑ̀iːiː
حكمدار	akest
حكيمات	ħakimæːt
حكيمة	ħakima
حلال	ħɑlɑl
حلاوة	ħalawa
حلاوة طحينية	ħalawa taħina
حلاوه	ħalaːwa
حلة	helle
حلزونة	ħɑlɑzɑːnɑ
حلق	ħɑlɑq
حلمية الزيتون	ħæl mɪːjɪt zaːtuːr
حلو	ħɛl
حلوان	ħælæːn
حلوة	ħɛlævæ
حلول	ħɔlɔl
حلوه	ħɛlæ
حلّق	ħalaq
حما	ħama
حماة	ħamiaːt
حمار	ħumɑr
حمار مخطط	ħomar mxatˤtˤt
حمام (حَمَام)	ħamma
حمام سباحة	hamˈmeːm sˈbeː˧ʃa
حمامة	ħamma
حمير	ʃˈemˈiʁˈ
حمّام	ħamˈmɛm
حمّامات	ħammæmɪt
حنفية	ħanfi
حواء [slash] حوا	ħɑwɑ
حوار	heʋɒːr
حواوشي	ha˥˥w˧˥
حوت	ħuːt
حورس	huɾas
حورية فرغلي	ħɑwːrɪjɑ fɾɢliː
حيات	χʔt
حيث	ħæs
حيث كده	ħˈɛskid
حيران	χæjˈrɑːn
حيطان	ħiːtˤɑn
حيطة	ħajtˤ
حيوي	hʌiːrwˈi
حَاروح معاك المستشفى	hɑruːh maʕak ælmustæʃfæ
حَاكُل	ħɑkˈl
حَاكُل مع اصحابي المسا	ħɑk ælmɑ ɑsˈhɑb ælmsa
حَاكُل مع صحابي بالليل	ħɛkɾ maːs ħɑːbɪ bɪlˈliːl
حَب	ħad
حَتِتخرّجوا السنة دي؟	hatˈtɑ tɑˈrɑːg ælˈsænidiː
حَرّمَ	jaɾlɑma˥
حَل	ħæl
حَوادِيت	ħawadaːɑt
حُطِّي	ħutːi
حُمُّص	hemmˈoss
حِج	ħɑg
حِدِق	ħdˈʔ
حِصن	ħasn
حِنين	ħaniːn
حِوار	ħuːɾ
خارج	χæˈrɪg
خارجة	χarga
خارجين	χardˈeːn
خارِج	χæːrɪg
خاص	xɒs
خال	χæːl
خالة	xela
خالص	χɔɫɯz
خايف	ɣʃæˈf
خبيث	xʃæbʲiːs
خبّط	χɑbːɑt
خد	xnt
خدت (خَدِت)	xadˈt
خدت (خَدْت)	xˈat
خددية	ħˈuddeˈjˈɑ
خربان	xorbon
خرفان	χɛrfeːn
خرم	χormi
خروف	xɑˈrʊf
خرونج	xoront
خريج ايه ؟	χɛɾrege
خريف	ɣʁaɾiːθ
خس	xɒs
خسيت	xasˈit
خشب	χʃb
خضار	xudɑr
خضراتي	xdrɑːti
خطير	χɑtɯr
خــضار	kɒˈdɒːɾ
خفاش	xufbeʃ
خفافيش	xafˈafiːʃ
خفرع	xfra
خفيف	xafiːf
خل	xɛl
خلاص	xɒlɒːs
خلاص تمام	xɑlɑs tɑmɛ
خلاصة	xʊlɑːsɑ
خلاط	xɨllɑt
خلصان	xalsɑːn
خلصانة	χɒlsɒna
خلفه	xælˈfˈo
خلود	xʊlˈaːd
خلي بالك (خلي بالَك)	xæli beːlæt
خلي بالك (خلي بالِك)	xalli bɑlɛk
خليجي	xalʲiːɟʲi
خليك في شغلك	fæˈlik fʲeʃuːglik
خليك في نفسك	xˈɛl lˈɪçt fˈɔɾ nˈafsˌɑːk
خماسين	χamensiːn
خمسة	χamˈsˈa
خمسة واربعين	χæmsa oɾbeʁɛn
خمسة وتسعين	χæmsaːl tˤsˈæːn
خمسة وتلاتين	χamˈsˤa tˈlaːtˤeːn
خمسة وتمانين	χamˈsˈo tˈamɑːnˈin
خمسة وخمسين	ɣamsau̯ hɑmsˈin
خمسة وخميسة	χɛmsɑ wˈɛk miːˈsən
خمسة وسبعين	χæmso sˈbˈʕiːn
خمسة وستين	hˈəmˈsˈəlstiːn
خمسة وعشرين	kamsaː æʃˈriːm
خمستاشر	χɒmˈastɒʃiɾ
خمسطاشر	kʰamɑstɑʃu
خمسمية	χmsuːmiːnː
خمسين	kamsˈin
خمن	χamˈn
خمْرة	χɛmmˈɾˈɑ
خنازير	χneˈzir
خنافس	xne̞fes
خنزير	χænzʲir
خنفسة	xonfes
خوخ	xuːx
خوفو	ʁufu
خيار	xtʃiːˈɑːr
خيال	xajˈɛl
خيالي	xajali
خيالية	xajalaɪːa
خيخة	ɣiːxɛ
خيوط	xʊ̞jʊ̞t
خَواجات	χwaaːgat
خَواجة	fauʁa
خُرْم	χʊ̞rm
خُصوصاً	χʊ̞sʊ̞u̠sʊ̞n
خِزانة	ɣ̞hizænæ
دا	dɐ
دار النشر	dɒˈr iˈn mɒʃreˈn
دار مسنين	dormuʃ jɛn nin
داعش	deːrˈæʃ
دايت	dajet
دايما	dæjmæn
دايْماً	dæjmæn
دب	teb
دب البندا	dab bɛlbända
دبان	ðəbˈɪn
دبانة	debˈɛna
دبلة	debla
دجاج	ðəgˈɛg
دحيح	dˈɑːʃiːq
دحيحة	daːˈxa
دخل	daxxældaxxəl
دراع	dræa
درجة حرارة	ˈdɑrɑgɪt ħɑrɑrɑ
درجة مئوية	doɾɔga mi ɔwɛjjɐ
دردشة	dærdæʃa
درر	dʊrɑr
دسك	dˈɪsk
دش	tʊʂ
دعا (دعاء)	dˈʁˈa
دعاء	doʁˈɛ
دعم	dˈaʁm
دعوة	daʕo
دفايات	dafˈʃaːjatˤ
دفن	dˈaːfnˈ
دفنة	dafna
دقائق	daqaʔa
دقة	dɑʔɑtɤqqɑ
دقيقة	ɪnɪn
دكاترة	dakatra
دكاكين	dakakine
دكان	dʊkːɪːn
دكتور	doktor
دكتور عيون	doktɔːr ʕiːæn
دكتورة	duktuːra
دكرنس	diːkjɛrnɪs
دكّة	dˈɛkːa
دلدق	ð̞emda
دلدقت	dˈɛldad
دلق	dˈeːl
دلوقت	dˈɛlˈwˈat
دلوقتي	dˈɛlˈtˈsˈtˈi
دماغ	diːmɛz
دمك خفيف	dæmˈmak χˈafiːθ
دمنهور	tamɑnhoːr
دمه تقيل	dɑmˈbɯt ɪl
دمه خفيف	daːn moxaːtsʃe is
دمه يلطش	d mojoɾtuz
دموع	dˈomɔr
دمياط	dˌumiˈɔt
دنية	dˈɑnɪna
ده كِرْدان حلو أوي	da kɪrðaːn ħal ʔua
دهان	ðəhˈɛn
دواء [slash] دوا	dawa
دودة	duːda
دورات	dɔvrɑt
دورة	dobra
دوسيه	tusi
دوشة	dau̯ʂa
دوغري	dogri
دول	dɔːl
دول بيلطّفوا الجو شوية	dalba aːlˤtˤaːfː qawːʔa sˈwˤʔa
دولاب	dˈʁˈpˈ
دولة	d̪eu̯l̟e
دولفين	t̪õl̪fẽn̪
دولي	daːwlj
دولية	dauljja
دوّر	dɒuˈvɒˈɾ
دي	dˈi
ديب	diːb
ديتوكس دايت	niː tɑksɑ dajt
دير القدّيسة كاترينا	ðe̞rɪl ɪt dˈisa katˈrɪna
ديسمبر	dɛsæmbɛr
ديك	dˈik
ديك رومي	dikˈlˈumi
ديل كارنيجى	d̪e kãɾmigi
ديناصور	ðinosoːɾ
ديناصورات	dajˈnosɔlɔt
ديناميكا	dɛ̃amikˈa
ديوك	djuːk
دَعْوَةْ	daʕwɑ
دِعاوة	dɑɛvɑ
دِعاية	dˈaɪ
ذكاء اصطناعي	zakeː ʔestunɑːʕi
ذهبي	dahabi
ذو الحجة	zælħaɣha
ذو القعدة	zɑlqiʕda
ذَبح \ بيذْبح	dæbæh iːdˈbʲa
ذُكُور	zukˈuɾ
رأس البر	ɾɑzɯɾbɑːr
رأي	rɑʝ
رئيسي	lˈoisi
راجع	rɛgɛ
راجعة	raga
راجعين	rˈagʁiːn
راجل	rɔgɪl
راجل تنك	rogyltˈinik
راجل شمال	raːgn ʃimˈɑl
راجل وست ستات	loːgəl wˈɛs ɛtˈɛzɛtˈɛ
راجِع	rˈeɣə
راح	rˈɑːh
راحت	raːħt
راديو	radzʲiu̯
راس	ɹˈɔs
راس الحانوت	ɾɑːs ælħanwt
راس محمد	ɾɑsˈmɑ ħɑmmˈd
راقِب \ بِيراقِب	re piri re
راقِد	ɾˈɑːɪd
راكب	rɛjkɪb
راكبة	rakba
راكبين	rakmiːn
راندا	ɾɑndɑ
رانيا حسين محمد توفيق	rɑnˈja ħasˈjæm makhomad adˈdaːʔafi
راوتر	rautɔs
راية	roja
رايح	roːjɛ
رايح السوق أشتري حاجات للبيت	roiːħ ælˈsuːʔ aʃtˤaˈriħ ħagat lalbeːt
ربطات حجاب	ɾɑtˤɑt ħægæb
ربعمية	ɾuːkʕmiː
ربنا يباركلك	raŋ pi la jibɑrɪklæk
ربنا يباركلكو	rɑʋːɪjɛnʲɪ ʔibʕɪrkʲɪlwkw
ربنا يخليهولك (يخليهولَك)	rɑbna jæxauːʔiːaː
ربنا يخليهولك (يخليهولِك)	ʁbna jˈxʼli huːlik
ربنا يسهل	rabːɪniː sˤɑhɪl
ربنا يهدي	ro̞pːiːne̞ɞndʒi
ربنا يوفقك	oʊt˦˥tj˧˥m̩˨˩˦t˥ʂw˧˥
ربيع	ɾɔbjɐ
ربيع الأول	ɾbiːʕ ælæwæl
ربيع الثاني	ɾbiːʕ ælˈtˤɑːnˤ
رتبة	rɔtɔb
رجع	redʒa
رجعت	æˈgʲɑt
رجفة	rˈagfˈ
رجل	rˈʌgˈlˈɪ
رحت	ɾaht
رحلة جويّة	rˈħl gˈoːiː
رحلة شغل	raħ ælˈʃæul
رخاص	ruxɒs
رخامة	rˈɑxˈɛmɑ
رخصة	ruħsɑ
رخصة سواقة	ruxsat sɛwaia
رخمة	resma
رخيص	rˈuxˈis
رخيصة	rxlsɑ
رز	ɾɔzɨ
رز بالشعرية	ɾuːsba aːlʃʕaʕraja
رز بلبن	ɾuzdi bɫæbæn
رسالة	resala
رسالة قصيرة	resaːla aː sɑjˈra
رسام	asem
رسامة	rasiːma
رسامين	rɑsmɪn
رسايل	ɾasɛjl
رسم	ras
رسمة	rɛsmɛ
رسمي	rɛsmi
رسومات	roːsʊmət
رشْح	rɑʃˈɛ
رطوبة	pɾɔtuba
رعد	ɾɑːd
رغاي	bɾagɾeʝ
رغي	ɾaːɣjɛ
رغيف	alʁiθ
رغيف عيش	lɪːgˈif ʕiːʃ
رفيع	ɾɔfəjˈa
رفيق	lə-fˈi
رقص (رَقْص)	ras
رقم	ɾɔˈkɔm
رقية	loajɑ
رقيقة	ɾɑia
ركاب	ɾukːb
ركوع	ɾukua
رمادى	proːmɔdi
رمادي	roˈmodi
رمضان	ɾamadɔɫ
رمضان صبحي	raːmadaːn sˈbˤħiː
رمضان كريم	rɔmadɔn kɛriː
روائي	ʔ˨
روائيين	ʃʃ
رواندا	ruaˈnˈdˈa
روايات	ɾuːjæd
رواية	rɨlaja
روبابيكيا	ʁubʁvʲæm
روبل	rˈubˌɛl
روبي	ovim
روح	ruːh
روح امك	aðˈmɑk
روحت	raħt
روحتُ	rɑuːaht
روحي	ruːxi
روسي	rusji
روسيا	ɾosiɐ
روش	prɛjvɨʃ
روشنة	raːʃana
روّحنا	raħna
روَّح	rauaː
روَّحت	aɾuːaħt
روَّحِت	roːaħt
رياح	rʲeː
رياضيات	riːdɪjɔːt
ريتني	ritni
ريحة	riːħɑ
رَبَّنا معاك	ɾɔbːɪnɑ maːʔɛk
رَبِّنا معاك	rabna maʕaːk
رَبَّنا يِخَلّيهُم	rabna ajxlhom
رَسَم	ɾaːsaːm
رُجوع	lugua
رُحْت	rˈaht
رُخاص	ruːxɑs
رُفَيَعَة	ɾfæː˧jɑː
رِجْل	rɛgl
رِجْلين	rˈgˈlˈɛnˈ
زائير	zæːˈiːr
زاط	zˈɔt
زامبيا	zɑmbia
زبادي	sˈɐbeːdi
زبدة	zebda
زبيب	zibˈib
زرار	zæɾɑːr
زراعة	zraɣa
زرافات	zrfɑt
زرافة	zˈɾɑfə
زراير	zrɔɛm
زرزور	zɒrzwjɒˈ
زرقاء	zˈɑrɑˈɑ
زعبوبة	zaʕbwˈba
زعتر	zˈɑtɑr
زعق	saˈʕa
زعلان	zæˈnæ
زعلانة	zaʕlaːn
زعلانين	zʕlɑːnˈjæm
زعيق	zebˈi
زفت	zˈɪft
زق	za
زقطط	zˈakːtˈɑtˈ
زلازل	zælˈɛzl
زلزال	zɛlðɛːl
زلط	zɑlɑt
زلطة	zɑlɑta
زميل	semˈil
زهره	zɑhra
زهق	dʒahddzæɾbænzæɾbæn
زهقان	zˈɑħˈæn
زهقانة	zˈaænˈnˈɑ
زهقانين	zæhʔaniːn
زور	zˈuːr
زىّ	zˈaɪ
زي	zˈaɪi
زي (زِي)	sˈe lˈi
زي الفل	zˈaɪbəl fˈɔl
زيادة	zʲiʲada
زيارات	ze̞jɒːɾɒːt
زيارة	zijora
زياط	zajˈot
زيت	zˈiːt
زيت زيتون	ziːt zaːtoon
زيطة	zɨjɛ̀ːtɔ
زيك	zajak
زيمبابوي	zimˈbˈɑbue
زينا	zˈaiːnə
زينب	seĩːnabuːzaĩːnabɯ
زيه	zˈɑjɪjˈe
زيها	ziːjɑhɑ
زيهم	sajɯoɦm
زيوت	zjut
زيي	zˈaɪi
زِيمْبَابوَى	sɛmˈˈbɔɛ
سؤال	sʔan
ساأت	saʔalitsaʕalit
ساحل العاج	sɑːħɑl ælʕaːg
ساخن	sæxˈin
سارة	tsora
ساعات	sˤɑʕt
ساعدت	sɑʕt
سافرت	sɑfˈrtsɑfˈrt
سافرنا	zˈˈafeɾnˈa
سافل	sæːfæl
ساقع	sˈeɪɚ
ساكن	seːkˈin
ساكنة	sakna
ساكنين	saknˈin
سالخير	sˤɑːlˈħˈiːr
سامح حسين	saːmaħ hasˈin
سامحتك	smɑħtˤak
سامع	seɪ˥˩mɛː˥˥
سامعة	sɑmɑ
سامعين	sɑmʕiːn
سامِع	sæˈmæɾ
ساندوتش	saŋdawɪ̞tʃ
ساندوتش بطاطس مقلية	sɛndowtʃ bataːt ˈɑsmaːle
سايب	sejɪb
سباحة	sˈibz
سباك	sˈɛstbɪk
سباكة	sibeka
سبتمبر	septˈæmbəl
سبحة	sˈbˈħah
سبعة	sˈæbʕ
سبعة واربعين	sˈbɑʕ waːrbaʕiːm
سبعة وتسعين	sˈabˈltˈ ðasˈʕiːn
سبعة وتلاتين	sˈbˤɑ tˈltˤiːm
سبعة وتمانين	sˈbɑʕ tˈaminiːm
سبعة وخمسين	sabɑb χæmˈsin
سبعة وسبعين	t̪e ba els zaβ̞ẽn̪t̪
سبعة وستين	sɐbaːʋ sɪtːiːn
سبعة وعشرين	sabau aʃtɪm
سبعتاشر	sɑbɑtɔʃuɾ
سبعطاشر "١٧"	se̞bʕetɑːʃr
سبعمية	sɔpɐɔmejɐ
سبعين	sˈʃˤʕæːn
سبورة	sapgula
ست	sˈɛt
ستاشر	sɛtɔʃɔr
ستاير	sætˈɛr
ستة	setta
ستة واربعين	sˈɪtˤa v ɑɾbˈʕæn
ستة وتسعين	sˈɪt dˈoʊ tˈɪ sˈim
ستة وتلاتين	sˈɪtˤa ˈʔiːtˤatˤin
ستة وتمانين	sˈɪtˤa ælθamniːm
ستة وخمسين	sʲɪtːo χamsʲin
ستة وسبعين	sɪtˈtˈɛ æl sæbˈʔajn
ستة وستين	səto ztiːn
ستة وعشرين	sˈɪtˤa væˈʃtiːn
ستمية	sˈɛttɔmˈɛjɐ
سته	tʃʲi
ستين	sitˈiːn
سجاجيد	segeːgĩːnt
سجاد	sˈegˈid
سجادة	saɣːada
سجاير	sæˈgeːr
سجدة	sɛgˈda
سجق	sˈɔgo
سجود	sˈogˈuːd
سحاب	sahæm
سحابة	sˈɑħˈab
سحالي	saħaːliː
سحلب بندق	sahlɑb bɔndu
سحلية	sˤɑħlʔ
سحور	sˤoːħuːr
سخسخت (سَخْسَخِت)	sˈaχ sˈaχɪt
سخسخت (سَخْسَخْت)	sˈɑx zˈaxt
سخن	sˈɔxt
سخن (سُخْن)	sˈuʁ
سرسجي	sɛrˈsɛgi
سرفيس	sɛɹfˈiz
سرى	seɾɾj
سرير	sɨɾˈiɹ
سريع	seːˈriːˈjɑ
سريعة	sˌɛɾiˈjɑhˈ
سريلانكا	sɾjˈlanka
سعد الدين سمير	sˈaʕd ælˈdiːn sˈmiːr
سعد الصغير	saːdaː sɔɣajːr
سعودي	saʕuːdi
سـواقين	sauaɪn
سـُفر َة	sʊfrɐ
سفارات	sfɑrɑt
سفارة	seforo
سفلة	safalə
سقعان	saːjˈin
سقف	sˈɛt
سكاكين	sˈə-kakˈin
سكر	sokːar
سكشن	sˈɛkʃən
سكينة	sekine
سكينة (سِكِّينَة)	sekkjna
سلاحف	saˈlaːħaf
سلام	sælɛm
سلام عليكم	sælɑm ʕaliːkæm
سلامتك	sælæmdɑksælæmdɛk
سلامو عليكو	sˈlˈɑːvɑlɑkˈu
سلبي	sɪlbi
سلحفاة	sˤaħafa
سلحفة	sˤaħafˤa
سلسله	selsˈelˈjɛndiˈ
سلطة	saˈlata
سلطنة بروناي	salt̪anat̪ β̞ɾwne̞j
سلطنة عمان	sultanaːt ʕɑmɑːn
سلوفاكيا	slovakia
سلوفينيا	sloˌvɛnja
سلّح	sˤlˤaːh
سلِّفْـني	saːliːfniː
سماسرة	sˈamˈasra
سماعات	sæmæˈʔ
سماعة	smaː
سمان	sɛmmˈɛːn
سمسار	sɛˈmsɑːr
سمسم	sensen
سمسمية	semsemˈaja
سمعوني	samɑwˈni
سمك	saˈmɑk
سمكة	samakˈa
سمكة قرش	sämɑkɛt ɛrʃ
سمكرة	sɒmkɒra
سمنة (سَمْنَة)	samna
سمنة (سِمْنَة)	semnˈa
سمنة على عسل	samna ʕalaː ʕalaː
سمير غانم	sɛmjiɾˈ qɛjɯˈnɯm
سميراميس	smiːɾæmiːs
سناجب	sɛnɛːgib
سنة	sˈana
سنة حلوة يا جميل	sanħla jannˈmɑːr
سنة سنة	senna senna
سنتين	sɑnɑtˈin
سنجاب	senɣeb
سندوتش	sˈɛndəwˈɪtʃ
سنغافورة	sengˈafuɾa
سنه	sɔnˈne
سنين	tʃtsʃʃ
سوء الظن	suː ez zɔn
سوازيلاند	swaziːjland
سواق	sɛnˈweɪt
سواقين	saːwogaː
سوبر ماركت	zubˈɛrˈmɑːrkˈɛt
سوداني	sdeːniː
سوريا	suljˈa
سورينام	sulɪneːm
سوستة	sostˈa
سوق	sˈu
سوهاج	sˌoːɹˈɛg
سويسرا	so˩˥ːɛsrɑ˥˩
سيب	sˈib
سيبني	sɛbni
سيتي باند	sidi bˈant
سيد قشطة	sæjɪd ʔøʃtˈɑ
سيدهم	sɪndɦɔm
سيراليون	seɾˌalˈion
سيراميك	sɛɾamiːk
سيرفس	sˈɚvɪs
سيستم	sʲɛstɪm
سيسي	sisi
سيطر	sajɯtɑr
سيف	sˈeɪf
سيل	θiːl
سيناء	sine
سينما	sɛnəma
سيوة	sˈiwˈa
سيول	sijˈul
سَتَر	satɒɾ
سَتْر	sˈɛtɾ
سَقَط	satˤ
سَلَطة	sɒlɒtɒ
سَمْن	sˈɑm
سُخن	sˈxˈnˈ
سُخنة	sʊ̞χnæ
سُخنين	saxnˈiːn
سُخنيّة	sˈaːxɑnˈhæne̞ɒː
