!	kɑŋ˥˥tn˥˩ kɑŋ˥˥
"apple"怎么说？	æpɪl˨ tsɑŋ˨˩˦mɤ˥˩ʂʰu˥˥
想不开	ɕjɛn˨˩˦kʰa˥˥ pu˥˩kʰa˥˥
想不想	ɕjɑŋ˨˩˦pu˥˩ɕjɑŋ˨˩˦
想不想喝點兒咖啡? 不想	ɕjɑŋ˨˩˦j˧ ɕjɑŋ˨˩˦  kʰa˥˥feɪ˥˥ pu˥˩ɕjɑŋ˨˩˦
想不起	ɕjɑŋ˨˩˦pu˥˩
想不通	ɕjɑŋ˨˩˦ pu˥˩
想不開	ɕjɑŋ˨˩˦pu˥˩kʰaɪ˥˥
想东想西	ɕjɛn˨˩tʊŋ˥˥ɕi˥˥
想了你一整夜。再也想不起你的脸	ɕjɑŋ˨˩˦lni˨˩˦ i˥˩ʈʂɤŋ˨˩˦jɛ˥˩ tsaɪ˥˩jɛ˨˩˦ɕjɑŋ˨˩˦pu˥˩tɕʰi˧˥neɪ˧˥tɤ˧ljɛn˧˥
想來想去	lʰi˧˥ɕjɑŋ˨˩˦ tɕʰy˥˩
想像	ɕjɑŋ˨˩˦
想像力	ɕjɑŋ˨˩˦
想像的共同体	ɕjɑŋ˨˩˦ ɕjɑŋ˥˩  kʊŋ˥˩tʰʊŋ˧˥tʰi˨˩˦
想入非非	ɕjɑŋ˨˩˦lu˥˩ feɪ˧˥feɪ˧˥
想出	ɕjɑŋ˨˩˦ʈʂʰu˥˥
想出来	ɕjɑŋ˨˩˦ʈʂʰu˥˥laɪ˧˥
想到	laua
想办法	ɕjɑŋ˨˩˦ pan˥˩fa˧˥
想去	ɕjɑŋ˨˩˦tɕʰjɛ˥˩
想去中国的大学	ɕjɑŋ˨˩˦tɕʰy˥˩ ʈkuɔ˧˥  ta˥˩ɕ
想吃掉你	ɕjɑŋ˨˩˦ʂʰɯ˥˥tjɑʊ˥˩ne
想吃点儿什么	tɕjɑŋ˨˩˦ʂɚ˥˩  ʂmɤ˥˩
想吃的东西很多。	ɕjɑŋ˨˩˦ʈʂʰɚ˥˥tʊŋ˥˥xɤŋ˧˥tɕʰi˥˩  kʰɤŋ˨˩˦tɕjɛn˨˩˦
想喝	xɤ˥˥
想头	ɕjɛn˨˩˦kʰoʊ˥˥
想好	ɕjɑŋ˨˩˦xɑʊ˨˩˦
想家	ɕjɑŋ˨˩˦tɕja˥˥
想对而言，女孩子比男孩子顺溜多了。	ɕjɑŋ˥˥tweɪ˥˩ aɻ˨˩˦jɛn˧˥ny˨˩˦xaɪ˧˥tsɯ˧ pi˨˩˦nxaɪ˧˥tsɯ˧ʂuən˥˩li˥˩t tɔ˥˥ la˥
想尝	ɕjɑŋ˨˩˦
想幹嘛說清楚	ɕjɛŋ˨˩˦kan˥˩ma˧˥ ʂtɕʰɪŋ˥˥ʈʂʰu˨˩˦
想开点	ɕjɑŋ˨˩˦kʰaɪ˥˥tjɛn˨˩˦
想当	siŋ˨˩taŋ˥˥
想当初	ɕjɑŋ˨˩˦tɑŋ˥˥ ʈʂʰu˥˥
想当然	ɕjɑŋ˨˩˦tɑŋ˥˥tɕjɛn˨˩˦
想得到	ɕjɛn˨˩˦
想得开	ɕjɑŋ˨˩˦tɤ˧˥kʰaɪ˥˥
想得美	ɕjɑŋ˨˩˦  meɪ˧˥
想得開	ɕjɑŋ˨˩˦tɤ˧˥kʰaɪ˥˥
想必	ɕjɑŋ˨˩˦pi˥˩
想必你很擅長	ɕjɑŋ˨˩˦pi˥˩ ni˧˥xen˨˩˦ ʂan˥˩ʈʂʰɑŋ˧˥
想念	ɕjɑŋ˨˩˦ljɛn˥˩
想想	ɕjɑŋ˨˩˦
想想看	ɕjɑŋ˨˩˦ ɕjɑŋ˨˩˦kʰa˥
想方設法	ɕjɛŋ˨˩˦ ʂɤ˥˩ fa˨˩˦
想方设法	ɕjɛn˨˩˦ ʂɤ˥˩fa˨˩˦
想有一天去台湾旅游、所以 学习汉语	ɕjɑŋ˨˩˦ oʊ˧˥i˥˩ tʰjɛn˥˥tɕʰy˥˩ tʰaɪ˧˥wan˥˥ly˨˩˦joʊ˧˥ suɔ˨˩˦i˨˩˦ ɕi˧˥xan˥˩
想来	ɕjɛ˥˥ʰ
想来想去	ɕjɑŋ˨˩˦  tɕʰy˥˩
想法	fɑ˨˩
想甩	ɕjɛŋ˧˥ʂua˨˩˦
想睡	ɕjɑŋ˨˩˦ʂweɪ˥˩
想知道	ɕjɑŋ˨˩˦ʈʂɚ˥˥tɑʊ˨˩˦
想租	ɕjɑŋ˨˩˦tsu˥˥
想著	ɕjɑŋ˨˩˦ʈʂɤ˥˩
想蘊	ɕjɑŋ˨˩˦yn˥˩
想要	ɕjɑŋ˨˩˦ ja˥˩
想要征服一个男人的心，要先征服他的胃	ɕjɑŋ˨˩˦ ɕʈʂ i˧˥kɤ˥˩ nʐən˧˥  ɕɪn˥˥ jɑʊ˥˩ ɕjɛn˥˥ʈʂtweɪ˥˩  t
想要征服一個男人的心，要先征服他的胃	ɑʈʂoʊ˧˥ ɕi˥˩   ɕjɛn˥˥ ʈʂoʊ˧˥ ʰ
想要点儿什么？	ɕjɛn˨˩˦  tjɛ˥˩ ʂm˥˩
想见	ɕjɑŋ˨˩˦
想話	ɕjɑŋ˨˩˦xwa˥˩
想說	ɕjɑŋ˨˩˦ʂuɔ˥˥
想让	tɕjɛŋ˨˩˦ ʐaŋ˥˩
想说	ɕjɑŋ˨˩˦ʂu˨˩˦
想象	ɕjɑŋ˨˩˦
想象一下	ɕjɑŋ˨˩˦ ɕjɑŋ˨˩˦
想象不到	ɕjɑŋ˨˩˦ ɕjɑŋ˥˩p�u˧˥tɑʊ˥˩
想象力	ɕjɑŋ˨˩˦ ɕjɑŋ˥˩li˥˩
想象空间	ɕjɑŋ˨˩˦kʰʊ˥˥tɕjɛn˥˥
想起	tɕjɛn˨˦
想起了	ɕjɑŋ˨˩˦ ɕt
想起来	ɕjɑŋ˨˩˦ʰtɕʰi˨˩˦
想辦法	ɕjɑŋ˨˩˦ʰpan˥˩fa˨˩˦
想通	ɕjɑŋ˨˩˦tʰʊŋ˥˥
想開	ɕjɑŋ˨˩˦kʰaɪ˥˥
想頭	ɕjɛŋ˨˩˦tʰɤ˧˥
惴惴	ʈʂɤ̆ːj˥˩ ʈʂɤ̆j˥˩
惴惴不安	ʈʂweɪ˨˩˦ʈʂweɪ˥˩ pu˥˩wan˧˥
惶	xwɑŋ˧˥
惶恐	xwɑŋ˨˩˦kʰoŋ˨˩˦
惶恐不安	xwɑŋ˧˥kʰoŋ˨˩˦ pu˥˩an˥˥
惶恐，压抑的自己	xwɑŋ˥˥kʰʊ˥˩ ɑ˨i˥˩  ʈʂɚ˨˩˦
惶惑	xwɑŋ˧˥
惶惶	xwɑŋ˧˥xwɑŋ˧˥
惶惶不可终日	tɕjʐan˧˥fɑŋ˧˥tʰa˧˥tʰa˧˥fɤkɤ˧˥ ʈʂʊŋ˥˥ tɕʰi˥˩
惶扰	kwɑŋ˨˩˦ʈʂa˨˩˦
惶空	wɑŋkʰoŋ˨˩˦
惹	ʒˈɑ
惹不起	ɐ˨˩˦pu˥˩tɕʰi˧˥
惹不起 躲得起	ʐɤ˧˥ pu˥˩tɕʰi˨˩˦  tɤ˧˥tɕʰi˨˩˦
惹事	ɤ˨ ʂɚ˥˩
惹人	ʒɤ˨˩˦tɕʰi˥˩ʐən˧˥
惹人注意	ʐɤ˨˩˦ ʐən˧˥ʈʂu˥˩ i˥˩
惹人注目	ʐɤ˨˩˦ ʐən˧˥ʈʂu˥˩mu˥˩
惹出	ʐɤ˨˩˦ʈʂʰu˥˥
惹出是非	ʐɤ˨˩˦ ʈʂʰu˥˥ʂɚ˥˩feɪ˥˥
惹怒	ʐɤ˧˥nu˥˩
惹恼	ʐɤ˧˥nɑʊ˨˩˦
惹是生非	ʐɤ˨˩˦ ʂɚ˥˩ ʂən˥˥feɪ˥˥
惹毛	ʐɤ˨˩˦mɑʊ˧˥
惹火烧身	ɤ˧˥xuɔ˨˩˦ʂɑʊ˥˥ʂən˥˥
惹眼	ʐɤ˧˥jɛn˨˩˦
惹祸	ʐɤ˨˩˦xuɔ˥˩
惹祸精	ʐɤ˨˩˦xuɔ˥˩
惹起麻煩	ʐɤ˨˩˦ tɕʰi˨˩˦ ma˧˥fan˥˩
惹麻烦	hɔːmaː˧fʔ
惺忪	sin˥˥ sõ˥˥
惺惺	sɪŋ˥˥sɪŋ˥˥
惺惺作态	sin˥˥sin˥˥tsuɔ˥˧tʰaɪ˥˥
惺惺惜惺惺	sĩŋ˥˥sĩŋ˥˥ si˧˧sĩŋ˥˥
惺惺相惜	sin˥˥sin˥˥ ɕjɑŋ˥˥sikʰ
惻隱之心	tsɤ˥˩ɪn˨˩˦ʈʂɚ˥˥ɕɪŋ˥˥
愀	tɕʰjɛ˨˩˦
愀然變色	tɕjɑʊ˥˩ ʐan˧˥pjɛn˥˩ sɤ˥˩
愁	tɕʰjoʊ˨˩˦
愁人	ʈʂʰoʊ˧˥ʐən˧˥
愁吃穿	ʈʂʰəʊ˧˥ʈʂɚ˥˥ʈʂʰwan˥˥
愁容	ʈʂʰɑʊ˧˥aɻ˥˩
愁容满面	ʈʂʰoʊ˧˥ ʐʊŋ˧˥mɑŋ˨˩˦jɛn˥˩
愁死	tɕʰjoʊ˧˥
愁眉不展	ʈʂʰoʊ˧˥meɪ˧˥pu˥˩ʈʂan˨˩˦
愁眉啼妆	ʈʂʰoʊ˧˥ meɪ˧˥tʰi˧˥ ʈʂwɑŋ˥˥
愁眉苦脸	tɕʰjoʊ˧˥meɪ˧˥kʰu˨˩˦ljɛn˧˥
愁眉苦臉	tsʰoʊ˧˥meɪ˧˥ ku˨˩˦ljɛn˨˩˦
愁绪	ʈʂʰoʊ˧˥ɕy˥˩
愁肠百结	ʈʂʰoʊ˧˥ʈʂʰɑŋ˧˥  tɕjɛ˨˩˦
愁腸百結	ʈʂʰoʊ˧˥ʈʂʰɑŋ˧˥ paɪ˨˩˦tɕjɛ˧˥
愁苦	ʈʂʰɑʊ˧˥
愁闷	tɕʰjoʊ˧˥mən˥˩
愆忘	tɕʰjɛn˥˥
愆期	tɕʰjɛn˥˥tɕʰi˥˥
愈	y
愈加	y˥˩tɕja˥˥
愈发	y˥˩fa˥˥
愈合	aɪ˥˩
愈来愈	y˥˩laɪ˧˥y˥˩
愈演愈烈	y˥˩jɛn˨˩˦y˥˩ljɛn˨˩˦
愉	i˥˩
愉快	y˧˥
愉悅	y˥˩ʐɥ˩
愉悦	y˨˩˦ʐɤ˥˩
意	iː
意下如何	i˥˩ɕja˥˩ɾxɤ˧˥
意不尽	i˥˩ pu˥˩ ʈʂɚ˥˩
意中	i˥˩
意中人	i˥˩ ʈʂʊŋ˥˥ʐən˧˥
意义	ni˥˩
意会	i˥˧  xwe˥˩
意兴	i˥˥sĩ˥˥
意兴阑珊	li˨˩˦ ɕɪŋ˥˩ʐan˥˥ɕan˥˥
意冷心灰	i˥˩ lɑŋ˨˩˦ sin˥˥xweɪ˥˥
意即	i˥˩
意向	i˥˩
意向性	i˥˧siau˥˧sio˥˧
意味	i˥˩
意味深長	i˥˩weɪ˥˩ ʂən˥˥ʈʂʰɑŋ˧˥
意味深长	i˥˩ ʂən˥˥ʈʂ
意味着	i˥˩weɪ˨˩˦ ʈʂɤ˥˩
意图	i˥˩
意圖	i˥˩
意境	i˨˦tɕĩŋ˥˥
意外	i˥˩uaɪ˥˩
意外事件	ɪ˥˩uaɪ˥˩ ʂɚ˥˩
意外事故	i˥˩ ʂɚ˥˩ku˨˩˦
意外地	i˥˥uaɪ˥˥ti˨˦
意外洩漏	i˥˩uaɪ˥˩
意外的收获	i˥˩uaɪ˥˩ ʂoʊ˥˥xuɔ˥˩
意外身故	ɑɪ˥˥saɪ˥˥kɯ˥˩
意大利	i˥˩ta˥˩ni˥˩
意大利人	i˥˥ɕy˥˩ʐən˧˥
意大利文	i˥˩ ta˥˩ li˥˩
意大利有6千万人口	ɪ˥˩ta˥˩li˥˩ ljoʊ˥˩tɕʰjɛn˥˥wan˥˩ʐən˧˥kʰoʊ˨˩˦
意大利腊肠	i˥˩ ta˥˩li˧˥la˥˥ʈʂʰɑŋ˧˥
意大利菜	i˥˥ ta˥˩li˥˩tsʰaɪ˥˥
意大利语	i˥˩ ta˥˩li˥˩y˨˩˦
意大利通心面	i˥˩ ta˥˩ li˥˩ tʰʊŋ˥˥ɕɪn˥˥mjɛn˥˩
意大利面	i˥˥tali˥˧ mjɛn˥˥
意大利面条	˥ta˥˩li˥˩mjɛn˨˩˦tʰiɑʊ˨˩˦
意大利面食	i˥˩ ta˥˩li˥˩mjɛn˥˩ʂɚ˧˥
意大利香醋	i˥˥ ta˥˩li˥˩ɕjɑŋ˥˥tsʰu˥˥
意大利麵	i˥˩ ta˥˩li˥˩mjɛn˥˥
意式	i˥˩
意式冰激凌	i˥˩ pɪŋ˥˥ lɪŋ˧˥
意式咖啡	i˥˩ kʰa˥˥feɪ˥˥
意式浓缩咖啡	i˥˩ɕɪ˨˩˦ nʊŋ˧˥tsuɔ˥˥afɪ˥˥
意志	i˥˩
意志力	li˥˩ ʈʂɚ˥˥li˥˩
意念	i˥˥njɛn˨˩˦
意念力	i˥˩njɛn˨˩˦li˥˩
意思	i˥˩tsɯ˥˩
意思就是说你不是我的菜	i˥˩  ʂɚ˥˩ ʂuɔ˥˩ pʰɪ˥˩  ʰtsʰaɪ˥˩
意思意思	isis
意思：俚语，本领，办法。一种傲娇的用法，尤其用在对方的行为超出自己的预期时。例句：看不出，你小小年纪，还真有两下子。）	i˥˩
意想不到	ɪŋ˥˥ɕjɑŋ˨˩˦ptt˥oʊ˥˩
意愿	i˥˩ɥœn˥˩
意拳	i˥˩tɕʰɥœn˧˥
意料	i˥˩ljɑʊ˥˩
意料之中	i˥˩ ɑʈʂɚ˥˥ʈʂʊŋ˥˥
意料之外	i˥˩ʂɚ˥˥ljɑʊ˥˩ʈʂɚ˥˥uaɪ˥˩
意有所指	i˥˩
意欲	i˥˩
意气	itʃi
意气扬扬	i˥˥tɕʰi˥˩ jɑŋ˧˥ jɑŋ˧˥
意气用事	i˥˩tɕʰi˥˩ jʊŋ˨˩˦ʂɚ˥˩
意气风发	i˥˩tɕʰi˨˩˦ fɤŋ˥˥fa˥˥
意气飞扬	i˥˧tsʰi˥˩feɪ˥˥jɑŋ˧˧
意气骄横	i˥˩ɑ˥tɕjɑʊ˥˥xɤŋ˥˥
意氣風發	i˥˩tɕʰi˨˩˦ fɤŋ˥˥fa˥˥
意涵	i˥˩xan˧˥
意淫	i˥˩
意犹未尽	i˥˩joʊ˧˥weɪ˨˩˦tɕɪŋ˥˩
意符	i˥˩
意第緒語	i˥˩  y˨
意第绪语	i˥˥
意義	mhm
意蕴	i˥˩yn˥˩
意蘊	i˥˩yn˥˩
意見	i˥˩
意见	i˥˩tɕjɛn˥˩
意见相左	i˥˩kɛn˨˩˦ tɕjɛn˥˥fɑŋ˥˥ʂtsuɔ˨˩˦
意见箱	i˥˩tɕjɛn˥˩ɕjɑŋ˥˥
意識	i˥˩
意識常現起	i˥˥ ʂɚ˧˥ʈʂʰɑŋ˧˥ɕjɛn˥˥tɕʰi˨˩˦
意識形態	i˥˩ɕɪŋ˧˥tʰaɪ˥˩
意識流	i˥˩ ʂɚ˥˩ljoʊ˧˥
意譯	i˥˩
意识	i˥˩ʂɚ˨˩˦
意识到	i˥˩ sɯ˥˥ tɑʊ˥˩
意识形态	i˥˩ ʂɚ˧˥ɕɪŋ˧˥tʰaɪ˥˩
意识流	i˥˩ ʂɚ˧˥ljoʊ˧˥
意译	i˥˩
意象	i˥˩ʨ˩˦ ɕjɑŋ˥˩
意趣	i˥˩
意难忘	i˥˥nan˥˥wɑŋ˥˥
意面	i˥˩mjɛ˥˩
愒人	tʰaɪ˥˥tɕʰyn˨˩˦
愕	aɻ˥˩
愕然	ɤ˨
愕视	ɤ˥˩ʂɚ˥˩
愚	mi
愚不可及	y˧˥pu˥˩ kʰɤ˨˩˦
愚人	y˨ʐən˧˥
愚人节	y˧˥ʐən˧˥
愚公移山	y˧˥kʊŋ˥˥i˧˥ʂɑŋ˥˥
愚妄	y˧˥
愚弄	y mˈɛ̃
愚懦	ɕy˧˥
愚拙	y˧˥ʈʂuɔ˥˥
愚昧	y˧˥meɪ˥˩
愚昧无知	u˧˥meɪ˥˩ ʈʂɚ˥˥
愚昧無知	y˧˥meɪ˥˩ u˧˥ʈʂɚ˥˥
愚民	y˨˩˦mɪn˧˥
愚痴	imˌfˈi
愚笨	y˨˩˦bɤŋ˥˩
愚者	ɕʈʂɤ˨˩˦
愚蠢	piːtʃ bˈaɪnən
愚鈍	lytvən
愚钝	y˨˩˦tuən˥˩
愚鲁	nˈɔ̃ lˈoː
愛	aɪ
愛上	aɪ˥˩ʂɑŋ˥˩
愛不釋手	aɪ˥˩ ʂɚ˥˩ ʂ
愛人	aɪ˥˥
愛人跟人走	aɪ˥˥tɕjɛn˥˥ kən˥˥tɕjɛn˥˥tsəʊ˨˩˦
愛佔小便宜	aɪ˥˩ ʈʂan˥˩ɕjɑʊ˨˩˦pʰjɛn˧˥i˨˩˦
愛你一生一世	aɪ˥˥ni˨˩˦ i˥˩ʂɤŋ˥˥i˥˩ʂɚ˥˩
愛到才知痛	ai˥˥tɑʊ˥˩tsʰaɪ˧˥ tʰoŋ˨˩˦
愛努人	aɪ˥˥nu˨˩˦ ʐən˧˥
愛卿	aɪ˥˥kɪŋ˥˥
愛去不去	tɕʰy˥˥pu˥˩tɕʰy˥˥
愛吃	aɪ˥˥
愛咋咋地	aɪ˥˥tsa˨˩˦tsa˨˩˦ li˨˩˦
愛哭鬼	aɪ˥˥kʰu˥˥kweɪ˨˩˦
愛因思坦	aɪ˥˥ɪŋ˥˥tʰan˨˩˦
愛国無罪	aɪ˥˥kʰuɔ˧˥ʂu˨˩˦tsweɪ˥˩
愛国者	aɪ˥˥kuɔ˧˥ ʈʂɤ˨˩˦
愛國	aɪ˥˥kuɔ˧˥
愛國者	aɪ˥˥kuɔ˧˥ ʈʂɤ˨˩˦
愛國里	aɪ˥˥kɔ˨li˨˩˦
愛奴人	aɪ˥˥nʊ˨˩˦ʐən˧˥
愛好	aɪ˥˥xɑʊ˨˩˦
愛好兒	aɪ˥˥xɑʊ˨˩˦
愛如潮水	aɪ˥˥ ʂu˨˩˦
愛媛	aɪ˥˥ɥœn˧˥
愛媛県	an˥˩ɥœn˧˥ɕjɛn˥˩
愛屋及烏	aɪ˥˥u˥˥ tɕi˧˥u˥˥
愛崗敬業	aɪ˥˥kɑŋ˨˩˦ tɕɪn˥˩
愛心	aɪ˥˥sɪŋ˥˥
愛心征服一切	tɕʰjɛn˥˥ ʈʂn˥˥ u˨˩˦i˧˥
愛情	aɪ˥˥tɕʰɪŋ˧˥
愛情片	aɪ˥˥tɕʰɪŋ˧˥pʰjɛn˥˩
愛惜	aɪ˥˥
愛意	ˈaɪˌiː
愛愛	ˈɛ
愛慕	ajmu
愛憐	aɪ˥˥ljɛn˧˥
愛我別走	aɪ˥˥wɔ˨˦tie˧˧tsɔ˧˧
愛戴	aɪ˥˥daɪ˥˩
愛抖露	aɪ˥˥tʰou˨˩˦lu˥˩
愛拼才會贏	aɪ˥˥pʰɪn˥˥tsʰaɪ˧˥ ɕɪŋ˧˥
愛新覺羅氏	aɪ˥˩ɕɪŋ˥˥ tɕʰɥœ˧˥luɔ˧˥
愛新覺羅溥仪	aɪ˥˩ɕɪŋ˥˥tɕɥ˥luɔ˨˩˦ pʰu˨˩˦i˥˩
愛新覺羅．溥儀	aɪ˥˥sɪn˥˥tɕjɛ˧˥lɔ˨pʰu˥˥i˨˩˦tɕi˨˩˦
愛沙尼亞	aɪ˥˩ ʂa˥˥ni˧˥a˥˥
愛沙尼亞語	aɪ˥˩ ʂa˥˥neɪ˧˥a˨
愛河	aɪ˥˥
愛液	aɪ˥˩
愛滋	aɪ˥˥tsɯ˧
愛滋病	aɪ˥˥ʈʂɚ˨˩˦pɪŋ˨˩˦
愛爾蘭	ai˥˥lɑŋ˧˥
愛爾蘭和北愛爾蘭會統一嗎	aɪ˥˥kɤ˧˥xɤ˧˥ peɪ˨˩˦aɪ˥˥kɤ˧˥ lən˧˥  tʰʊŋ˥˩i˥˥ ma˥˥
愛爾蘭大饑荒	aɪ˥˥ɚ˨˩˦lan˧˥ ta˥˩tɕi˥˥ xwɑŋ˥˥
愛爾蘭語	aɪ˥˥ɚ˨˩˦ ɑŋ˥˥y˨˩˦
愛玉	an˥˩y˥˩
愛玉子	aɪ˥˥y˧˥tsɯ˧
愛現	aɪ˥˥
愛知県	aɪ˥˩ ʈʂɚ˥˥ɕjɛn˨˩˦
愛美	əˈɪ mˈeɪ
愛莫能助	ai˥˥mɔ˥˩ nan˧˥ʈʂu˥˩
愛誰誰	aɪ˥˥ʂˈeɪ˧˥ʃeɪ˧˥
愛護	ajɛku
愛豆	aɪ˥˥ tʊ˥˩
愛財	aɪ˥˥tsʰai˨˩˦
愛迪生	aɪ˥˩ti˧˥ i˧˥ʂən˥˥
愛面子	aɪ˥˥mjɛn˥˩tsɯ˧
愛麗絲	aɪ˥˥li˥˩fɤ˧˥
愜意	tɕʰjɛ˥˥i˥˩
感	kan˥˥
感业寺	kan˨˩˦jɛ˥˩
感人	san˨˩˦tɕɪŋ˥˥ʐən˧˥
感人肺腑	sɤɔ˨˩˦sɯ˥˥ʐən˧˥fɪ˥˩fu˥˩
感伤	kan˨˩˦ʂɤŋ˥˥
感光	ka˥˥kwɑŋ˥˥
感光鼓	k̚˥˩an˧˧k̚˥˩aːŋ˥˥
感兴趣	kan˨˩sin˥˥tsy˥˩
感冒	sɑŋ˥˥mɑŋ˥˩
感冒差不多好了。	ma˥˩ʰʈʂpu˥˩tua˥˩xɑʊ˨˩˦l
感冒灵	kan˨˩˦mɑʊ˥˩
感冒药	kan˨˩˦mɑʊ˥˥ jɑʊ˥˩
感到	ka˥˥n˥˥tau˥˥
感到不安	t kan˨˩˦tɑʊ˥˩pu˥˩an˥˥
感到不自在	kɑŋ˨˩˦tɑʊ˥˩ pu˥˩ tʰɯ˥˩
感到冷	kan˨˩˦tɑʊ˥˩lɤ˧˥
感到厌倦	tɑʊ˥˩ i˥˩n˥˥tɕɥœn˨˩˦
感到失望	kan˨˩˦ tɑʊ˥˩ɕʂɚ˥˥wɑŋ˥˩
感到意外	k̚˥˩an˨˩kaːʔsi˥˧uaɔ˥˧
感到有些心力交瘁	kan˨˩˦tɑʊ˥˩ɕjɛ˥˥ li˥˩tɕjɑʊ˥˥tsʰweɪ˥˩
感到满意	kan˨˩˦tɑʊ˥˩man˨˩˦i˥˩
感到羞愧	sɯ˥˥ kan˨˩˦tɑʊ˥˩ɕjoʊ˥˥kʰeɪ˥˥
感到羞耻	kan˨˩˦tɑʊ˥˩ɕjoʊ˥˥tsʰɯ˧˥
感到非常满意	kan˨˩˦tɑʊ˥˩ feɪ˥˥ʈʂɑŋ˥˥mɑn˧˥i˥˩
感到骄傲	tkɑŋ˨˩˦ tɑʊ˥˩
感动	tɔːŋ˥˩
感動	kan˨˩ tʊŋ˥˥
感化	kan˨˩˦xwa˥˩
感受	kɑŋ˨˩˦tɕjɛ˥˥ kɑŋ˨˩˦
感受一下	i˥˩
感受到	ɕʈʂoʊ˥˩ tɑʊ˥˩
感受器官	ɕʂoʊ˥˩ tɕi˥˩ kwan˥˥
感受态细胞	kan˨˩˦ʂoʊ˥˩ tʰaɪ˥˩pɑʊ˥˥
感召	tsi˥˧
感叹	k̚˦˥aːn˥˩tʰaːn˥˩
感叹号	seŋseŋ˨˩ kan˨˩˦tʰan˥˩xoʊ˥˩
感叹词	kaɪ˨˩˦ tʰan˥˩tsɯ˧
感叹语气	tʰan˥˩y˨˩˦ tɕʰi˥˩
感同身受	tʰʊŋ˧˥ʂən˥˥ʂoʊ˥˩
感奋	sɑŋ˥˥kan˨˩˦ fən˥˥
感官	kãŋ˥˥kwan˥˥
感寤	kã˥˥ u˥˩
感应	kã˥˥
感应器	kan˨˩˦ɕtɕʰi˨˩˦
感念	kan mjɛn
感忿	kæn̪sæm
感性	tan˨˩˦sin˨˩˦
感恩	ta˥˥an˥˥an˥˥
感恩節	kãŋ˥˥an˥˥tɕʰjɛ˨˦
感恩节	kan˨˩˦ɛn˥˥
感恩节快乐	kan˥˩tɕjɛ˧˥ kʰaɪ˥˩
感悟	aŋ˨˩˦
感情	tɕ˥ɥœn˨˦ tɕʰiŋ˥˧
感情不顺。	kan˨˩˦tɕʰɪŋ˧˥pɯ˧˥ʂuən˥˩
感情深一口闷	kan˨˩˦tɕʰɪŋ˧˥ʂɤŋ˥˥ɪ˥˩kʰoʊ˨˩˦mən˥˥
感情生活	kan˨˩˦tɕʰɪŋ˧˥ sɤŋ˥˥xuɔ˧˥
感情用事	kan˨˩˦tɕʰɪŋ˧˥ ʂɚ˥˩
感情的	kan˨˩˦tɕʰɪŋ˧˥tɤ˧˥
感情的边缘。	kan˨˩˦ tɕɪŋ˧˥ ˥pjɛn˥˥ɥœn˧˥
感情骗子	kan˨˩˦ tɕʰɪŋ˧˥ pʰjɛn˥˩tsɯ˨˩˦
感想	sjɑŋ˨˩˦
感愧	kan˨˩˦
感慨	kʰaʔ˨
感慨万千	san˥˩ wan˥˩
感慨係之	kan˨˩˦kʰaɪ˨˩˦
感應	kan˨˩˦jɤŋ˥˥
感戴二天	kan˨˩˦ taɪ˥˩ aɻ˥˩tʰjɛn˥˥
感旧之哀	kan˨˩˦tɕjoʊ˥˩ʈʂɚ˥˥aɪ˥˥
感染	kan˨˩˦ʐan˨˩˦
感染力	an˨˩˦an˨˩˦
感業寺	kan˨˩˦jɛ˥˩
感概	kaŋ˨˩˦kaɪ˥˥
感激	kɑ̃ˈtij
感激不尽	kan˨˩˦tɕi˥˥ pu˥˩tɕi˥˧
感激之情	ɕ tɕi˥˥ʈʂɚ˥˥tɕʰjɑŋ˧˥
感激涕零	tsi˥˧ tʰi˥˩ lɪŋ˧˥
感知	kan˨˩˦ʈʂɚ˥˥
感知语音学	kan˨˩˦ʈʂɚ˥˥y˧˥ɪŋ˥˥ɕɥœ˧˥
感篆	san˥˩ʈʂwan˥˥
感興趣	tɕan˨˩˦sɪŋ˥˥
感覺	kan˨˩˦tɕɥœ˧˥
感觉	kãn˨˩
感觉到	tɕɪŋ˥˥tɕjɛ˧˥tɑʊ˥˩
感觉口渴	kan˨˩˦tɕɥœ˧˥ tkʰoʊ˧˥kʰɤ˨˩˦
感觉有点伤心	kan˨˩˦tɕjɑʊ˨˩˦ti˨˩˦ʂan˥˥ɕɪŋ˥˥
感触	kan˨˩˦
感觸	kan˨˩˦ʈʂʰu˥˩
感謝	ɕ
感謝主	ɕjɛn˨˩˦
感謝你提供這個機會	kʰan˨˩˦ɕjɛ˥˩˦ niti˧˥kʊŋ˥˥i˥˩ʰ
感謝你的誇獎，太过奖了。	kɕi˥˥ ɕjɛn˥˩ʰ tkʰwa˥˥ʈʂaŋ˨˩˦  ʰlɤ˧˥
感谢	ɕ kan˨˩˦
感谢你们来接我。	kɑŋ˨˩˦ɕjɛ˥˥neɪ˧˥mɤŋ˧˥lzɑ˥tɕjɛ˥˥wɔ˨˩˦
感谢你的帮助	ɕan˨˩˦ ɕjɛ˥˥ ni˨˩˦ʰpɑŋ˥˥ʈʂu˥˩
感谢信	ɕan˨˩˦ɕjɛ˥˩
感谢得很！	ɕtɕjɛ˥˩ tən˧˥
愠怒	ynˈˈnuː
愠色	yn˥˩sɤ˥˩
愣	lœŋ
愣住	lɤŋ˨˩˦tsu˨˩˦
愣愣	lɤŋ˧˥lɤŋ˧˥
