!אמרתי לך	ʔɑmɑː tilaħ
!ברכותינו	ilkoteˈnu
!גָּדוֹל	gadoʎ
!הַפְסֵק להיות ארגנטינאי	aːfsɾk lɛjhiːt ɑlgɛntinaj
!הדרך	atðʁɛjx
!הפעל	af˨eːl
!יש חדשות באתר	neʃt xaˈdæʃ ʃæt baʔtɑːm
!כי בא אורך, קומי אורי	kwaː ɔʁiʁ kɔm on
!תּוֹדָה	tata
ולתקופה	velatkufa
ומִפְּנֵי	umipnei
ומאושרים	umeoʃaɣˈim
ומאחל	ummeaxˈɛl
ומאיים	umiajɛmmɛ
ומאפיה	ˌumɐfˈɛʁɐ
ומבודדים	ũnvɔdɛdiːmɛ
ומבורך	ʔɔmɛbɔʁa
ומבלה	umibeːlˈe
ומבלי	pumnɪbli
ומבלעדיו	umibːalʕadˈda
ומבקר	umevakere
ומגבות	umagavot̪
ומגודל	umegudˈal
ומגנים	umɛginimɛ
ומדביקים	umʁˈmˈkikʃimˈmˈɛ
ומדהים	lamadem
ומדו	dʒibɾiʃtɪn
ומה	una
ומה גם	umagam
ומהווה	umeave
ומהווים	umˌeʁavˈiŋ
ומהירים	umʕim
ומהכסף	umɛakɛsif
ומוזרים	umuzaɾig
ומוחשית	vimuxaʃit
ומוכנה	umuħˈana
ומוכנים	ðe-muχanim
ומומחיותו	umuːmxiuto
ומועסק	mɯˈvɑsɑk
ומוצאים	umutseme
ומורדור	umˈɔʁdˈuʁ
ומורה	vɛmoʁˈeˈɛtʁvɛmɔʁwˈa
ומושיע	omoʃia
ומותה	vɛmuta
ומזג	umuzɫɑmuvɨmezɛk
ומזוין	umzujˈaŋ
ומזורגגת	umesuʁgˈegit
ומזכירי	umˈtˈkijri
ומזל	vˈə-mˈalˈan
ומחודד	umxudad
ומחוז	ʁˈemlˈxuz
ומחוץ	vˈeːmiχˈuts
ומחזיק	vˈeːmɛxˈzɪk
ומחייך	umhaʃajɛx
ומחייכת	un
ומחכה	umaxʃʔe
ומחפש	uːmaxapːs
ומחר	tʃiːzie̞χːaɢ
ומטרה	θɛmtːaʁa
ומטרותיה	umatroteha
ומי	vˈemi
ומיוחד	umiad
ומיליונים	vɛmiliɔnɛme
ומכובדות	omeniːʃstanbed̪ot
ומכוער	umxoaɾ
ומכיוון	umjkɛvːɑn
ומכל	umiko˩˥lˈ
ומכת	ummakat
ומלחמת	vˈemilˈkʰemet
ומלכה	umulka
ומלמד	umelamˈɛd
וממהר	unemeheɾe
וממש	unamaa
וממתק	umamtak
ומנגינה	umangina
ומנהיגזכותי	ʒˈɛbɹiʃ
ומנתחסיכוייםבפוטבול	dʒˈˈbˈʁˈɛtʃ
ומסוגנן	umisugnal
ומסודר	umˈə-sudˈaʁ
ומסך	vˈəmasˈax
ומספיק	vɨmɛspik
ומסתבר	umistabɛʁ
ומעוניין	umeunion
ומעוניין לדעת איך זה קרא	ɒ me̞onijan nʊdɑd ʔex ze kʁɑ
ומעיל	umaiːl
ומעלה	ðæmæl
ומפיר	ampiɾ
ומצבות	uimaʲtsɛvot
ומצטמצמת	unkõmtamtsɛmet
ומציק	umetsik
ומצליח	ʃtˈomatsliːˈjax
ומקבלים	umikaˈblim
ומקומט	umekumat
ומקס	dˈəmˈaks
ומקסים	uðɛmaksim
ומקסימה	ummaksima
ומקרה	vemˈikʁˈe
ומראה	ɑumɾʔ
ומרגע	umirega
ומרגש	mˈefˈagˈɛʃ
ומרחב	vmiʁav
ומרים	ðeˈmɑːɾˈim
ומרשל	ðemˈaɾʃal
ומשגשג	unisigseg
ומשחק	nɪːsˈæk
ומשחקת	umsaxˈaket
ומשחררים	umʃaxregrime
ומשמשת	uːmʃmʃit
ומשעשעת	uːmiːˈʃaʃæɑt
ומשפחת	umɪːʃpæxæt
ומשתיניםעל	dʒˈɛbɾiʃ
ומשתפר	vumˈistˈapɛʁ
ומתה	vmto
ומתוקה	umetuka
ומתכנן	uːmtħnɛn
ומתןוהפעם	kɛːbrɯs
ומתפלל	umitpalael
ומתפשטת	umitipasˈatˈɛtˈe
ונאבקה	vɛnɛuzkɑ
ונאמנות	dˈinˈeːmˈɛnnˈʊt
ונאמרהארי	gˈɛbɹˌiʃ
ונאנומדות	gˈɛbɹʃ
ונבחרת	v̞ɛnʲivʃʲaʁʲet
ונגיע	zɛnɛgijɑ
ונדטה	vˈɛndətˌɑ
ונדל	vˈandala
ונדלי	noːnɗali
ונדליזם	vˌandɜlˈɪzəm
ונהגתי	vɛnagti
ונהנים	ɒnɛneme
ונהרג	̪eːnjˈeɾɒg
ונוס	venus
ונוס מואר	vˈɛnʊs lˌuˈɑl
ונוקשה	vʲenukʃɛ
ונורית	fœnˈʊrətˌɛ
ונותרו	vɛnutʁu
ונזעק	vɛnizɑk
ונזקק	vinizkak
ונזרע	enizʁa
ונזרק	vɛnizrak
ונחבא	vnxba
ונחבט	unkəbət
ונחבל	e̞nʃβ̞al
ונחלים	unxalin
ונחלש	vˈjˈnˈɒlˈaʃ
ונחש	unkai
ונחתנו	bedaxartnw
ונטילציה	ventilatsia
ונטפל	unetʃpell
ונטשת	vɛntɑʃta
וניארד	kærimmæ
וניה	zˈanɪˌɑ
וניזהר	eizˈjˈjæʁ
ונילין	vanilin
ונימוסים	venimuziŋ
וניפגש	vinipagɛʃ
וניצחנו	tʃil
ונלחמנו	vnjˈjˈjˈamnu
ונלעג	vənˈialˈʒaːʒ
ונמות	vɛnamut
ונמצא	vɛnimtsa
ונמשיך	jˈɛnamʃˈiχ
ונמשכים	�ipasisχim
ונס	venas
ונסיעת	untseat
ונסעו	tʃiːzitʃu
ונסענו	ɓɛnɛsɑnɔ
ונסתלק	wɛnɪstɛlək
ונעזוב	ʁənˈazov
ונעלם	vɛneɛlam
ונעלמו	veneelmo
ונפגשנובכל	dʒibɾis
ונפל	v̞e̞nafaɾjð̞e
ונפלו	vˌeːndˈiːslˈuː
ונפלתי	venaalti
ונפצים	venivatsin
ונפתח	ðeːnniftax
ונציאני	kovenetsiani
ונציה	venetsia
ונצל	venitsˈal
ונצפה	ũnet̪spe
ונצר	atsar
ונקבה	ðəljˈkæða
ונקום	umum
ונרקב	ʋənʲìʁkˈaz
ונשאל	vˌɛnɪʃˈal
ונשוף	vniːʃˈɔf
ונשיקה	nʃika
ונשלם	uniʃbe
ונשמח	ʒˈɛlnisˈamˈaʃ
ונשתווה	venˈiʃtʃɑvˈe
ונתחזק	veiːtxazˈik
ונתחנן	mənitʁanˈ
ונתיש	vɛnjətig
ונתנקה	benitnɑqɛj
וסאל	vˈasˈsˈal
וסארומן	dʒˈebɹuʃ
וסבונים	vɛsabonime
וסבסטיאן	vɛsɛbastjɐn
וסודה	vɨsˈodə
וסחב	visaxav
וסחט	vesatʃat
וסחף	ɢɛssəχɑːst
וסיפר	lasɛpˈɛʁ
וסיפרת	lasepaʁt
וסיפרתי	visiparte
וסל	vasˈla
וסלח	tussalˈax
וסנט	ðəsˈɛnt
וספה	wɛspa
וסקסית	vesɛksid
וסרט	veseʁat
וסת	vˈɛsət
וסתם	ustam
ועבדתי	ʃtʃitehavasal
ועבודת	ðavuadɑt
ועבריין	vɛvɾiɑn
ועגבנייה	tuːtʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiːzitʃiː
ועד בית	vad bˈaɪt
ועד מנהל	ðað mɛn æl
ועדה קרואה	faɾð̞ak sɾuːa
ועדת	zˈɑhˈat
ועדת אגרנט	ðaː daːt ɔ gɾanat
ועדת הגוי	vˈadatˈʃiːguːj
ועדת החוץ	vʔʔa dat haχuts
ועוד איך	ʁɛaʁdˈɛk
ועוד איך!	β̞oð̞ex
ועודנו	zˈɛodˈɛnʊ
ועוזר	vˈɛ̃uzˈɛvɛ
ועוטה	saute
ועומדים	tˈɪoˈmdˈimɛ
ועופו	ðɔufu
ועוצמה	vjaltsma
ועוצר	zotsɛr
ועורו	veauɾo
ועותקים	ketɛkimnɛ
ועידת	ðæiːtæt
ועייף	ðeˈɾˈjˈɛst
ועיתונאים	vˈʔitˈonajim
ועכשיו - לישון.	vʲaʃav liʃˈon
ועכשיו נצא לאור	ex̞ɒˈʃav nʲitsːe laːɒːɾ
ועליה	ðelea
ועליזים	ɑjˈsiːm
ועמוק	ðeːr̝mˈok
ועסק	vˈɛʁsˈak
ועף	vˈaɪv
ועפה	zˈɛːfˈa
ועפר	vˈɛˈafˈar
ועצמאית	ɣatsmajiʲts
ועצר	gatsar
ועקסלער	vˈekslˈɛɹvˈekslˈɛɹ
ועשה	akompano
ועשינו	essien
ועשית	ðesɪtə
ועשית מנרת זהב טהור מקשה תיעשה המנורה	ʋʰʔs ta menɔʁɑt zɑhɑw taʱoʁ mikʃʔat jɛʔasɛ hɑmenɔʁɑ
ועשק	ðæʃˈak
ופושעים	upuʃim
ופחד	uːfɑxˈd
ופטרוניה	vɨpatronɛɦa
ופיזז	ʊfiseze
ופיטר	ləpɛtɛ
ופיננסיים	ifinansɛn
ופירות	ʁfai̯Ɂt
ופסי	vafsi
ופעוטון	upou̯t̪on
ופעילים	ɔfæjlimː
ופער	dˈəpˈaʊɹ
ופרותיך	ɑufaɾutɛxa
ופרחים	ufraħˈim
ופרט	vɛpːaɾit
ופרנק	ofɾaŋk
וצא	vɛtsɛ
וצאי	wˈʌtsˈi
וצודק	bitsɔdɛk
וצונו	vetsivano
וצורות	nɛtsɔrɔt
וצורח	ʋɛtsʰɔrɛjˈjɑç
וציוונו	ɣetsbanu
וצילצל	vɛtiɫtɛl
וצימצם	tɨmtsɛmmɛ
וצלי	uzli
וצמצם	vɛtsʲimtsʲɛm
וצע	ɪ̞mɪ̞stʲɪk
וצרך	β̞ʲets̺aɾjax
וצרלי	dʒɛbɾʏs
וקדח	vekadˈa
וקומץ	ðekɔmɪts
וקונה	sekundni
וקוניםמהמקור	dʒʁbʁiʃ
וקוראים	ðəqoʁim
וקחו	ukrˈoː
וקטור	vˈɛktɔr
וקיבלת	vɛkibalta
וקיוויתי	vækjəviti
וקימנו	vekˈejmˈanʊ
וקיר	ðəkɪɾ
וקסמן	vaksma
וקעקועים	ðəkaːrkoːˈim
וקפה	vˈɛkafˈe
וקרא	vekara
וקראנו	ðekaranu
וקרטיס	vekertis
וקריירה	vekʲaʁʲiʲeʁa
וקרל	ðəkˈɑɹl
וקרן	ðˈɪkɛɾin
וראשהפקעתי	dʒibris
ורבו	ouaʁvˈu
ורבות	vʲeʁabot
ורבותייסליחה	dʒibrɛ
ורבינו	t̪eɾapẽn̪t̪
ורבלי	zɛɾbˈali
ורבליות	vɛrbaliot
ורבליים	vɛrbalim
ורבלית	ɒɾbɒlit
ורבע	vaɾeva
ורגאיי	dʒɛbrʲiʃ
ורגיליוס	vergəljus
ורגיש	vˈˈlˈgˈiʃ
ורגלה	ʁˈɛgla
ורגליו	ðəʁaglav
ורד	tivˈœʁʁˈɛd
ורדה	varta
ורדון	væɾˈdon
ורדינון	vˈˈardˈɪnʊn
ורדרד	fʁadʁad
ורואים	ð̞ɾuːjim
ורוד	gɒld
ורודה	vruda
ורודות	fʁudˈot
ורודים	fɹɔ̃diːm
ורוח	ʁˈuːɑːx
ורוח הקודש	iruɔ xaˈpɔbɛʃ
ורוחות	vˈʁˈˈuxoʁt
ורות	ðəɹˈaʊt
ורחוב	ʁˈaχoˈv
ורחץ	uχast
ורטיגו	vɛɾtigo
ורטיקלי	vɛrtikali
וריאציה	ˈʌɾiˈatˈsija
וריד	vʁˈid
ורידים	fʁɛdˈim
ורידלי	dʒibʁiʃ
וריסס	vˈɛʁiʃɛs
וריקוד	ðˈɛɹʁikˈuð
ורכב	ɾˈeχad
ורמוט	amut
ורמוטיין	dʒˈɛbɹiʃ
ורנדה	ʒɛrˈanˈda
ורנדולף	dʒɪbrˈiʃ
ורנר	vˈɛrnˈɛɹ
ורסאי	vˈɛlsˈaɪ
ורסטילי	vʲəʁsatiʎi
ורסס	velisˈɛs
ורעידות	rˈidˈɔt
ורפוי	vˈɛɹɑfˈuʒˈ
ורץ	fɛɾatʃ
ורצה	vɨrɛtsɑ
ורצחו	veʁalʃxu
ורקדניות	vˈɛrkdˈanjˈɔt
ורקעל	dʒɛbʁiʃ
ורשבסקי	vɑʁʃɑβuskʰi
ורשה	vˈaɾʃa
ושאלוהים	veʃe̞loʔĩn
ושאלתי	veʃulti
ושבע	wɛʃɛvɑ
ושבעה	væːʃivʔɑ
ושבעים	ʃˈa
ושבעת	ʋˈʃʊɑːrt
ושגשוג	vˈɛzˈɛktsˈug
ושדואג לך	vʃedoʔˈg lˈexa
ושהוא	vʃɛhuː
ושהואלבקשת	βˈʃʰulvakˈaʃat
ושהכל	væˈsħɑhkɛll
ושואל	vʃuːl
ושושבינה	vɪsʊɫˈsvˈiːnɑː
ושות'	vʃʊd
ושותה	v̞eʃutˈe
ושותסופי	dʒˈɛbɹidʒ
ושט	ðʃˈɛt
ושייט	vʃiːt
ושילדייך	beːʃeladajˈs
ושימוש	vʃimoːʃ
ושירבט	veʃjɢtˈeɾəb
ושירה	væˈʃiːæ
ושירים	veʃiʁˈiŋ
ושכב	vʃaxˈav
ושכחי	beʃikxæ
ושכשאנציקלופדיותינו	ves̺ɛkʃɛɛnts̻iklopɛt̪io̞tɛjnu
ושל	viʃɛl
ושלושים	ʊtʃlɔʃim
ושלכם	vəʃˈelajˈem
ושמח	vesamɛʁ
ושמחת בחגך	vosˈamɑxttəbeχagjeχ
ושמחתי	vosamakti
ושמידט	usmidɪ̞t
ושמינית	bʃmiːniːt
ושמך	veʃimeχ
ושמןחולץ	dʒˈɛbɹiʃ
ושמעתי	vʃomati
ושמת	ðesæmte
ושמתי	væːˈsæamti
ושניים	uʃnɒjm
ושנים	vɛʃɑnime
ושפט	vɪʃˈafat
ושפם	vsˈa-fˈam
ושקדן	ʃakɑdɑn
ושקל	veʃakal
ושר	dʒʃaːr
ושרוי	beʃaɾˈʊj
ושרוף	vˈəsˈaɹˈuf
ושרות	vɛʃaʁot
ושרט	vˈəsˈˈʁat
ושרים	vʃaɾim
וששחררת	vɛʃɛsixʁʁaʁtʰɑ
ושתוק	uʃtɔk
ותאמיני	tˌɑmˈini
ותאמר	tutomaʁ
ותבדקו	vɛtˈizdiːkuː
ותביאי	vˈɪtɑːvˈiː
ותבין	vɛtavɪn
ותגידי	ʊtɑgɪdi
ותדבר	vatdˈadˈa
ותהיו	ðetʃiɦjˈu
ותהילה	but̪iɦila
ותודתי	betɔdɔti
ותוכי	vɛtsuki
ותורמת	tʃitʃo
ותושלכי	vetuʃlˈexi
ותחבקו	misexəbkoʊ
ותחזיר	vetaxsˈir
ותחפה	ɔtɛχɑpɛ
ותיזהרי	mtizˈhagi
ותיזרקי	tutrʁikˈi
ותילחם	vtilaχˈem
ותיק	bkɪ
ותיקן	vatakana
ותירגע	lətˈʁagˈa
ותישאר	tʃiʃtʃɑjˈjɛ
ותישנו	vytʃɪʃnu
ותיתן	vətiten
ותכלס	ðətˈaxlɛs
ותכניסי	vatːçnisːi
ותלולים	utlulimɛ
ותמותו	vɛtʃomutu
ותמשיכו	vtəmʃˈiχo
ותנהג	vɛtiːnħag
ותנהג‏	vɨtiːnħɑg
ותנו	t̪e
ותסדרי	ɔtɛsɨdɾi
ותסירי	kakompanoservi
ותעביר	ɗɪtɑɑviɾ
ותפגוש	tˌiːzəlˌyːbˈʒˈ
ותפסתי	vˈɪtɜfˈastˈi
ותפעם	vetifˈam
ותצא	vɛtɛtsɛ
ותצביע	vˌɪɾtdˈɛɾbˈɪɾ
ותצטרף	mɪtˌiːtstɾəs
ותצרף	buːtətsaʁɛf
ותקבלו	vɪtɪkˈabluː
ותקבלי	təklɪ
ותקף	vɛtɑːkˈaf
ותרגום	ðətʁrˈkum
ותרן	bɛtræ
ותרנות	vatːanut
ותרנית	atranjt
ותשאלי	wˈʌtʃɑliː
ותשבי	vəkˈtʃvi
ותשכח	vəˈtɪʃkˈax
ותשלום	vˌɪɾtdˈɛɾʃlˈʊŋ
ותשלחו	vatʃˈiʃlˈaxu
ותתחילי	tut
ותתעודד	tˈətˈiadˈɛd
ותתעסקי	ɔtitʃassi
ז	zˈaɪn
ז זַיִן	zˈaɪn
ז"י	se
ז"ל	zəl
ז''א	zˈɔtɔmɛɾɛt
ז'אן ד'ארק	ʃandɑlk
ז'אנר	ʃɑnɛg
ז'דנוביזם	æʃdænʊvɨsɪmn
ז'ורנליסט	ʒuʁnalˈist
ז'לוב	ʒlɔb
ז'לוביות	zlobiɔt
ז'לובים	ʑlɔbim
ז'לובית	ʃlobit
ז'לטין	dʒɛltʃɪn
ז'נר	ʒaniʁɑ
ז'סטה	dʒʃta
ז'ק	ʒˈak
ז'קט	ʒakˈt
ז'רגון	ʒˈˈgɔn
ז) אני מחכה)	ˈʌni mɛxʰakˈe
ז) קונה)	kone
ז) שלך)	ʃɛlˈxɑ
ז) שמונה)	ʃˈmˈɔnˈa
זְאֵב זְאֵבָה	tsɛ ˈɛv zˈɛ vˈɛ̃
זְאֵב עֲרָבוֹת	tʃi æv ʔaʁavot
זְאֵבילֶה	zɛːvile
זְבָדִים	sadim
זְבָלים	zɛˈlɛm
זְבֻלוּן	zɔlum
זְבוּב	svˈovˈ
זְבוּלֻן	zvulun
זְגוּגִית	zgʊgˈit
זְהִירוּת	zˈaħiɣut
זְהָרִים	zˈɛhaɾʒˈim
זְחִילָה	seχilˈa
זְכִירָה	zˈɑxjɾˈa
זְכַרְיָה	zˈɒˈʁijˈɒˈ
זְכַרְיָהוּ	seχaɾjjɑhˈu
זְכֹר!	zˈoː
זְכות	zˈɔxʊt
זְכוּת	zʁˈut
זְמִינָה	smina
זְמִירָה	zniːɾa
זְמִירות שבת	zmiːroːtʃɑ bat
זְמַן מָה	zɯmɑnma
זְמָן	zman
זְעֵיר פֹּה זְעִיר שָם	�e ʔɛʁfˈo ðe ʔeʁʃˈa
זְעַפְרָן	sˈafrˈan
זְקֹף	zkʊf
זְרִימָה	zʁimˈa
זְרָדִים	zɣəˈdim
זְרָעִים	zraʔim
זְרֻבָּבֶל	zrubovˈɛl
זְרוֹעַ	zɾɔaɾ
זִבְחֵי	zəboːxaj
זִהֵר	tsiheɾ
זִהוּי	zivui
זִוּוּג	zivˈog
זִוּוּגִי	zˈvogˈi
זִיּוּף	zjɔv
זִיגְזָג	zˈigzˌag
זִיו	zˈiv
זִיחַ	zˈiːɾ
זִיכּוּי	zjkuj
זִימְבַּבְּוֶוה	zimbabue
זִיעְזֵעַ	zˈiːaælzˈɛːa
זִכְרִי	zˈexˈrˈi
זִכָּה	zikˈa
זִכָּרוֹן	zˈiːkəɾˌɔn
זִלּוּף	zˈiːlˈuf
זִמּוּן	zˈiːmˈɔ̃nˈ
זִמרָה	zˈɛ̃ɾa
זִנֵּק	zinək
זִנּוּק	sinuk
זִפְּזוּפּ	ðəbˈa
זִפֵּף	zipɛf
זִקְנָה	zikna
זִקֵּק	zikˈɛk
זִקּוּף	zˈikˈuf
זִקפָּה	zikpa
זֵדִים	zˈˈɛdiˈm
זֵיעָה	zˈɛʁ
זֵכֶר	sˈɛçɛɾ
זֵר	zˈɛl
זֵרוּז	zˈɛzˈuzˈ
זֶבְּרָה	zˈɛbʁ
זֶבֶל	zɛvɛl
זֶבְּרָה	zˈɛbʁ
זֶה	z
זֶה הַכּוֹל.	zakul
זֶה הוּא זֶה!	zɛuzɐ
זֶה יוֹתֵר נוּחַ.	tʃi jost jom loko
זֶה לָזֶה	zɛla zɛ
זֶה לֹא כְּבָר	tse lok va
זֶה מִקָּרוֹב	zˈa mˈi kˈaɢˈov
זֶה עַתָּה	zəata
זֶהוּ	zehu
זֶפֶת	zˈɛfˈt
זֶרַח	zˈɛɹa
זֶרַע	zˈɛɹɑ
זַאֲטוּטָה	zatuta
זַהֲבוֹנִי	væˈniː
זַהֲרוֹן	zˈɑhɑrɔn
זַיִן	zajn
זַיִת זֵיתִים	zˈaɪt zˈeːt iːm
זַכְרוּת	zˈaxʁˈut
זַלְעָפָה	zˈaːlħafə
זַלֶּלֶת	zalɛlɛt
זַמְבִּיָיּה	zambia
זַמְזָם	zamzam
זַמְרִיר	zamɣir
זַנֵּק	zanɛk
זַעְתָּר	zatˈɒɾˈ
זַעַם	zaːm
זַקֵּק	zˈɐkɛk
זַר	zaɫa
זַרְזִיר	zau̯zilɛ
זַרְעוֹ	zˈaʁo
זַרְקוֹר	dɑːkɔː
זַרחָן	zəlxan
זָבַח	zavˈax
זָהִיר	zˈaʎ
זָהַר	zahaɫ
זָהָב	zˈhav
זָוִית	zˈəviːt
זָז לָזוּז	zˈɑːz la zˈuʒ
זָחֲלָה	zˈaˈxalla
זָחִיחַ	zˈaxˈxiaʃ
זָחוּחַ	zˈaxwˈəx
זָכַרְתִּי	sˈɑxʁaʁti
זָמִין	zɛmɪn
זָמִיר	zɑmiːl
זָנִיחַ	zˈanˈiːjax
זָנָה	zˈana
זָנוּחַ	zanũːah
זָעִיר	zaiʁ
זָעַק	zˈaak
זָעוּף	zˈaʊf
זָפַת	zˈafˈat
זָקֵן זְקֵנָה	sɑkɪ̞n zɛkɪ̞n
זָקָן	zækˈaːn
זָקוּף	zˈɑkʊv
זָקוּק	zˈakˈˈuk
זָר זָרָה	zɑl zɑɣa
זָרַח	zæɣæx
זָרַק לִזְרוֹק	zaˈrak lizʁok
זֹאת	zˈɔt
זֹאתִי	zɔti
זֹה	zə
זֹהַר	zˈoːɦaɾ
זֹהר, הַזֹּהַר, סֵפֶר־הַזֹּהַר	zoː hɒv həz zoː hɒv sˈeɪfɚlɑtspˈɑː
זאב	zˈɛv
זאב בודד	sɛv budɛd
זאב ז'בוטינסקי	zɛ ɛv ʒabutɪnski
זאב ערבות	zˈʔɛv ʔavˈop
זאב רוטשטיין	ðˈɛɾ ˈɛl rˈɔntstaɪn
זאב־הים	ʒˈɛlɛvʁhˈiˈɑl
זאבים	zɛvim
זאבת	zaɛvɛt
זאגרב	zagrɛb
זאוס	zɛus
זאטוט	zɒut
זאטוטה	zəˈrtəta
זאטוטות	zˈaːtutˈotˈ
זאטוטים	atutimime
זאקי	zaki
זאת	zˈot
זאת אומרת	zˈɔt ɔmərˈɛt
זאת האישה שאיימה עליי אתמול במכולת.	zotɒˈji ʃaːʃ iːnmɒnˈlaːit mɒlbɒn okɒlet
זאת הדרך ל	zˈot hˈadɾˈix lejˈ
זאתזמןמה	dʒˈibɾˈɑs
זב	zav
זב חוטם	zavxutɛm
זבד	zavad
זבדה	zˈivda
זבדי	zaldi
זבדיאל	zˈʌvdiːzəl
זבדיה	zˈɛvˈidiɑ
זבדיהו	sevɑdjɑːhʊ
זבה	zava
זבו	zavˈu
זבוּלוּן	ɛsvoːlˈoːn
זבוּלן	zwlon
זבוב	zvˈuv
זבובים	svuvim
זבוד	zavud
זבודה	zˈvudˈa
זבוים	zvuvim
זבול	ðəvˈuːl
זבולון	zvulˈun
זבות	zavɔt
זבח	zɛvɛ
זבחה	zˈafxə
זבחו	zˈavχˈu
זבחנו	zavaxnu
זבחת	zˈavɑxto
זבחתי	zafaxte
זבחתם	zavaktɨm
זבחתן	zˈavˈaxtɪŋ
זבי	zˈabˈˈaj
זבים	zˈvɪn
זבינא	zvina
זבל	zˈevəl
זבל עופות	zɒvjɾɒˈlɒfˈɒt
זבלוּן	zwˈlˈɔn
זבן	zˈabˈan
זבנג	zpɛng
זבנג וגמרנו	zbɛŋglagɔmaɾnɔ
זבנו	zavnu
זבנות	zˈabˈanˈut
זבנית	zˈæfəmɪt
זברה	zˈɛbˈˈ
זברה מצויה	zˈɛbʁam ˈɛt sˈuːjɑ
זברה פינק	zɛbɾɑpɪnk
זבת	zafutʃa
זבתי	zafati
זבתם	zapfɛtʂɛ
זבתן	zavtɪn
זגג	zagag
זגגים	zˈagagɪm
זגוגי	zguki
זגוגיות	zgˈugˈɪottˈ
זגוגיים	sˈugˈuɛim
זגוגית	zgugit
זגזג	zjgzɛg
זגזגה	zˈɛkzˈɛga
זגזגו	zikzikˈu
זגזגנו	zɨgzagnɔw̃
זגזגתי	zɛkzagti
זגזגתם	zjgzagtɨm
זגזגתן	zjgzaktɪn
זדוני	zdʊˈniː
זדוניות	zidɔniːˈɑt
זדיין	zdɛjɛn
זדים	zˈædiːn
זה	z
זה אמור	se amoɾ
זה בא	sˈɛstˈ
זה בסדר	a bˈɛsɪdˌɛʁ
זה בסדר, אין דאגות	zɛbɛsɛrða rɛndaːgot
זה בסדר, אני לוקח את זה	zˈa besˈedˌeʁ anˈi lo kˈex at ze
זה בסדר, אני לוקחת את זה	sˈa besˈeðɑɢ ʔan lo kˈaχat htʃa
זה דחוף	z da xoːf
זה הספר של ג'סטין	zˈɛstɪd fɪl ʃˈoːd jˈʌstɪn
זה הפרופסור המשעמם ביותר באוניבר	zˈapʁˈofˈsɛɾoʁ haʔmɑʃamen beʲɔtɛɾ ba u̯nivɛrsitˈa
זה זה	zɛzɛ
זה חם מידי	ðˈxʌ mˈidaˈj
זה חשוב	seˈ haʃuv
זה ימשוך יותר מדי תשומת לב...	zˈɛ imɕˈo jˈutɛrnˈy dˈajd sˈumat lɛv
זה יקום גדול, אבל אולי יום אחד נמצא אותה	se jikum kadol avˈel ulˈa jˈon ʔaj nˈemtsa utˈa
זה יקרה הכל ישתנה	se ˈi kɾˈˈe akɾˈan ʃtənˈe
זה כבד לי	se ka veˈd li
זה כואב	zˈɛko v
זה כמו לטעות באיות השם שלך.	ʔʃe kʲmˈɑl ytʁ tə beːjˈu tˈa ʃˈem ʃˈeχ
זה כרית לא נקי	zo kaɾit lo nekiˈjə
זה לא הגיוני	tio lo eʝioni
זה לא זה	ðɛ loːzɛ
זה לא חשוב	tʃˈe lˈo χʃˈuv
זה לא כל כך פשוט	zˈlɑː kɑl kˈx ba ʃˈut
זה לא כל כך קשה	zeːˈlo koːˈl koxte ʃæˈʔ
זה לא מובן מאליו.	ze lo movˈɑn mˈjælv
זה לא מתאים לי	se loː mat̪im li
זה לא נורא	zlo nova
זה לא נראה לי	se lo niʁa li
זה לא עבור ג'יין, אבא.	ðˈɛɹ lˈɔ əv wˈɛɹudʒəin ˈabə
זה לא עובד	ðe loːvɛd
זה לא פר	se lo feˈɾ
זה לא תלוי בי	zəˈlo tə lwibj
זה לא תמיד ככה	ze lo tʃam jid kaxʰa
זה לזה	estas tʃap
זה לשונו	zɛle ʃono
זה מה שיש	se̞ maː ʃiʃ
זה מטריף אותי	samɧa tʁa fɔtˈe
זה מנהג מקומי או לאומי	ze minhˈag mənkˈumi ol ju mˈi
זה מצב חירום	zˈe matsˈav χɛʁˈum
זה מרעיש מידי	zˈe mˈʁʔiʃ mˈidˈaj
זה משנה	tʃi meʃan
זה נגמר	sˈa ˈaŋigmalˈo
זה נושא כאוב	tɑ nosˈɛ kˈov
זה נכון	tse nˈˈaχon
זה סדין לא נקי	zasadʒin lo naki
זה סדין לא נקיה	es seðiŋ lɔnɔki
זה עובד כרופא בבית החולים	ze ʔovˈed kʰˈi ʁofˈe beˈt haχolˈim
זה עולה	zˈɛ oˈlˈe
זה עורר בך	tʃˈɛʁ oʁˈa bˈax
זה עתה	zæɾtæ
זה קר	sekaʁ
זה שאמרו רז״ל	zʃm rux zl
זה שטויות!	zˈʃtojˈt
זה שכתוב	zʲe tʃakatuv
זה שמיכה לא נקי	ʒˈa sˈmiʃˈa lˈo nikiˈjɑ
זה ששומר על	ze ʃˈeʃomˈor al
זהאלוהים	ezeeʔəlom
זהב	zˈɑhˈr
זהב טהור	zˈahˈavˈta ho
זהב לבן	zˈa ħˈavl vˈɑn
זהב פרוויים	zˈɛ hˈav pˈavajim
זהב שחור	zˈɑhˈav ʃaxˈuʁ
